Model	MAE	MSE	R2-score	Adjusted R2
LinearRegression	24.216674010041782	810.1593381992396	0.10333158308051293	0.0978071918681207
SupportVectorRegressor	17.62762777763817	601.3803396625232	0.3344040712654416	0.33030332205835167
DecisionTreeRegressor	0.07825004137037414	2.6874100198576865	0.9970256274605493	0.9970073022946249
RandomForestRegressor	0.1288801340395395	1.699324987667551	0.9981192205351722	0.9981076330170308
MLPRegressor	0.6831033463912701	3.5785350633696558	0.9960393477938615	0.9960149461401062
LGBMRegressor	17.512286024910324	460.47225916320974	0.4903583626191885	0.4872184507745311
GradientBoostingRegressor	0.7010289799371733	3.4260374423682176	0.9962081291606372	0.9961847673721006
CatBoostRegressor	3.234686963671678	21.212309172467446	0.9765226335264366	0.9763779890239769
