Top K features	MSE	R2-score	Adjusted R2
5	319.82381068804557	0.6447336704129707	0.644537585674265
6	319.893273543889	0.6446565097607195	0.6444211309859971
7	134.862926783441	0.8501917137043598	0.8500759294486382
8	83.00481492580471	0.9077966838263192	0.9077152321335862
9	38.96328235428268	0.9567188500415599	0.9566758317809717
10	7.691526035808255	0.9914561076056655	0.9914466710114592
11	7.690671307367383	0.9914570570541613	0.9914466768075686
12	7.6880293961450645	0.9914599917390462	0.9914486704731236
13	7.688094859441211	0.9914599190211804	0.9914476528569195
14	3.4884679988406218	0.996124943858421	0.996118949296434
15	3.4916215018496124	0.9961214408877168	0.9961150116262864
16	3.169760994838097	0.996478969618048	0.9964727432159579
17	3.167707855196639	0.9964812502843404	0.9964746382864222
18	3.1671358466141655	0.9964818856822777	0.9964748852337126
19	3.1659047973371317	0.996483253155066	0.9964758658482608
20	3.1685924676528625	0.996480267640116	0.9964724840656801
21	3.168627482209996	0.9964802287452845	0.9964720549980381
22	3.168937560312778	0.9964798843046714	0.9964713195462885
23	3.164694269202411	0.996484597832582	0.9964756547676721
24	3.1726693055480366	0.9964757390115807	0.9964663825664787
25	3.170022447349167	0.9964786791916606	0.9964689399483584
26	3.164965180895745	0.9964842968987562	0.9964741831257276
27	3.1677048421245337	0.9964812536313179	0.9964707406124007
28	3.168692549004887	0.9964801564678598	0.9964692494715229
29	3.1661484803173634	0.9964829824674091	0.9964716937559044
30	3.173125150966475	0.9964752326498801	0.9964635276442897
31	3.1647190496009214	0.9964845703060473	0.9964725058401431
32	2.461063778838201	0.997266203871105	0.9972565181452275
33	1.5815414142795854	0.9982431939256423	0.9982367744150173
34	1.114396503624002	0.9987621073156017	0.9987574463686172
35	1.0661787713990025	0.9988156684832701	0.9988110775426249
36	0.6531388775638938	0.9992744809986364	0.9992715879233097
37	0.8348584548580779	0.999072623459948	0.9990688223153836
38	1.0998107288365757	0.9987783094697245	0.9987731660795017
39	1.0093284445746837	0.9988788189000675	0.9988739739069487
40	1.0571510223189104	0.9988256966774599	0.9988204914322358
41	1.3590960829789935	0.9984902904010889	0.9984834303663382
42	1.552560045336781	0.9982753869776498	0.9982673584089358
43	1.6723849109284181	0.9981422832537575	0.9981334281578603
44	1.6504524163803205	0.9981666462829517	0.998157703094088
45	1.7240400216053609	0.9980849037811812	0.9980753484724056
46	1.5350902899431684	0.9982947927119011	0.9982860946041996
47	1.531412566305775	0.9982988779967806	0.99829001110822
48	1.6005409621258424	0.9982220888690405	0.9982126235036582
49	1.4542060455340269	0.9983846404582927	0.998375860356513
