mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_oob_score	param_n_estimators	param_min_samples_split	param_min_samples_leaf	param_max_features	param_max_depth	param_bootstrap	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
171.7686848640442	0.7758877281933022	0.3703502655029297	0.03913816260608022	True	300	10	3			True	{'oob_score': True, 'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': None, 'bootstrap': True}	0.9979355322976307	0.9976562706306702	0.9978546975183935	0.9972909102527718	0.997916579145792	0.9977307979690517	0.0002411793591321375	1
22.224755620956422	0.5130938669551534	0.6160830497741699	0.026865080004410336	True	200	6	3	sqrt		True	{'oob_score': True, 'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}	0.9463117026243957	0.9457312420611136	0.9422623804767694	0.9440428991843135	0.9461217663553823	0.944893998140395	0.0015406530522488414	2
49.182122468948364	2.5493439673565	1.6267560482025147	0.39677048159295364	True	500	2	7	log2		True	{'oob_score': True, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}	0.8522240899652456	0.8533482940535493	0.850254379682915	0.8544243171732545	0.8523633902869154	0.8525228942323759	0.001382575699531948	3
7.240027236938476	0.2587553223670227	0.26337432861328125	0.021276927049879633	False	100	10	7	log2		True	{'oob_score': False, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}	0.8569404040290622	0.8542273978098844	0.8489126992528992	0.8501514213921191	0.8451230427318217	0.8510709930431574	0.004130250195459258	4
258.0172957897186	4.2355641727835875	0.5676886081695557	0.08321084471806768	False	400	6	1		8	False	{'oob_score': False, 'n_estimators': 400, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 8, 'bootstrap': False}	0.8394753355610962	0.843293349590274	0.8307797810620803	0.7989106796525014	0.8381045073130765	0.8301127306358056	0.016119978432400258	5
197.3175172328949	2.9734197786175227	0.8405847072601318	0.09980196133063876	False	500	2	3		7	True	{'oob_score': False, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 7, 'bootstrap': True}	0.7928478072459457	0.7896833637177832	0.7706914891036776	0.7856051970363268	0.7927618437801718	0.786317940176781	0.008248431476655988	6
55.18381857872009	0.9445005170972739	0.11801590919494628	0.01112733344137216	False	100	6	1		7	False	{'oob_score': False, 'n_estimators': 100, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 7, 'bootstrap': False}	0.6903503799606906	0.7024373335857883	0.694531980518768	0.6146123212636234	0.6883654290395187	0.6780594888736778	0.0320887636968406	7
162.82383155822754	1.237732113632476	0.3337102890014648	0.015162032489304474	False	300	10	1		7	False	{'oob_score': False, 'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 7, 'bootstrap': False}	0.6903503799606907	0.7024373335857881	0.6945319805187675	0.6146123212636233	0.6883654290395187	0.6780594888736776	0.03208876369684058	8
10.464977836608886	0.5614637236258542	0.27609004974365237	0.03307277048120247	False	200	2	5	sqrt	8	True	{'oob_score': False, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}	0.5875140275866451	0.5900529557921139	0.5887252406542774	0.5907014374970279	0.5845750116277162	0.5883137346315561	0.002168544833890789	9
147.60924491882324	1.703784840633559	0.30370264053344725	0.03288415867691427	False	300	10	5		6	False	{'oob_score': False, 'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 6, 'bootstrap': False}	0.5330796234060036	0.5277545713427778	0.5347637334142006	0.47818139711088714	0.5117484654232072	0.5171055581394153	0.021091098366498078	10
5.918465042114258	0.18359226583925023	0.15930886268615724	0.008386356744024203	False	100	10	3	log2	8	False	{'oob_score': False, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': False}	0.5137727627205941	0.5111106543852628	0.5064482509817843	0.5047434758919103	0.4920747067364506	0.5056299701432003	0.0075039135434036555	11
13.046209192276	0.20952471349421167	0.24004225730895995	0.025045828039139365	False	200	6	7	sqrt	7	False	{'oob_score': False, 'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}	0.496638817858271	0.4841735000202325	0.4723198714109199	0.47702647884561955	0.4826986072723872	0.482571455081486	0.008201404030652702	12
29.304420948028564	0.7605059035046937	0.6232006072998046	0.04826410319271744	True	500	6	1	sqrt	7	True	{'oob_score': True, 'n_estimators': 500, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': True}	0.48049458244430865	0.47481402001136097	0.47997675196067535	0.4737237438935936	0.471558981562479	0.4761136159744835	0.0035287907196358257	13
